line_no	type	sample
382948	作者话候选	《蛊真人》这本书，你第一遍看和第二遍看，感受是不同的。尤其是这段章节，真正的精彩除了表面上的方源挣扎，对抗追杀，其实还有更多深层次的东西。比如人祖传和各个人物之间的照应，这从整体来看，才能发现这种小说铺设上面的美。又比如各方势力、各个人物之
382952	作者话候选	最近看到了一位读者朋友的书评，感触尤深。大意是《蛊真人》这部作品其实是成长性的，起初是偏向黑暗风格一些，但得到了中后期越发大气磅礴。单说这本书是黑暗文，其实是偏颇的。
382976	拼音残留	闭关的时候，我从未看过任何qq留言，微信短信，就是一门心思地去想，去写。终于将眼前的瓶颈突破。
385600	拼音残留	若俯瞰整个南疆，粗略来看在黄龙江、赤龙江两条线交叉成x，武家势力领土，便是在这个x的下口。而商家则在x的右边部分。
388404	拼音残留	章节目录 第八十章 中计（为blastocyst盟主加更）
389906	作者话候选	许多读者朋友应该可以察觉到，这一次的人祖传和正文之间的联络，更多的是一种对比。两条线之间隐隐呼应。比如《人祖传》中人祖遭遇了一生中最强的困境，方源同样如此。人祖垂死挣扎，幽魂如此，方源也是如此，其他人比如王小二还是如此（王小二是个重要配角，
389914	作者话候选	《蛊真人》这本书，你第一遍看和第二遍看，感受是不同的。尤其是这段章节，真正的精彩除了表面上的方源挣扎，对抗追杀，其实还有更多深层次的东西。比如人祖传和各个人物之间的照应，这从整体来看，才能发现这种小说铺设上面的美。又比如各方势力、各个人物之
389918	作者话候选	最近看到了一位读者朋友的书评，感触尤深。大意是：《蛊真人》这部作品其实是成长性的，起初是偏向黑暗风格一些，但得到了中后期越发大气磅礴。单说这本书是黑暗文，其实是偏颇的。
389942	拼音残留	闭关的时候，我从未看过任何qq留言，微信短信，就是一门心思地去想，去写。终于将眼前的瓶颈突破。
392560	拼音残留	若俯瞰整个南疆，粗略来看：在黄龙江、赤龙江两条线交叉成x，武家势力领土，便是在这个x的下口。而商家则在x的右边部分。
397580	作者话候选	今天的章节，其实是我一直想要营造出来的一种东西。那就是蛊世界是活的，鲜明的，完整的。每个人都有自己的故事，自己的悲欢离合。每个人的影响，会影响其他的人。比如这一章中，幽魂的一记手段，就吸引了赵怜云过来。继而又成了王小二等人上演好戏的舞台。
397600	英文残留	参与方式邮箱投稿（蛊真人qq邮箱1615480696qq）
397600	拼音残留	参与方式邮箱投稿（蛊真人qq邮箱1615480696qq）
399274	拼音残留	章节目录 蛊界logo投稿初选活动！
399278	拼音残留	蛊界logo投稿征集以来，收到了大量的优质投稿。目前投稿环节已经结束，进入投票环节。
406344	敏感词:王大	“哈哈哈。”金毛仙王大笑，“这你可就猜错了，小丫头。”
409260	作者话候选	《蛊真人》书友组织蛊界，永远敞开大门，欢迎志同道合的朋友们一起交流，一起讨论情节，一起吐槽作者，一起参与各种书友活动，一起催更，一起投票。
410262	敏感词:王二	能让陆畏因比较放心的，也就萧荷尖、冰晶仙王二人。
414720	敏感词:王大	冰晶仙王大喝一声，气势猛地收敛起来，不泄露丝毫一分。
415142	拼音残留	章节目录 第二百一十四节：气海vs毓秀
415550	敏感词:王大	“巨阳仙尊！你在里面吗？出来见我！”金箍仙王大吼，十分愤怒。
415604	拼音残留	一尊只能在梦中装b的无能神明。
415606	拼音残留	一名既是神明，又是教宗，又是信徒的苦b男主角。
418724	拼音残留	章节目录 第二百三十节：幽魂vs乐土
419170	拼音残留	章节目录 第二百三十二节：星宿vs巨阳
420356	拼音残留	章节目录 第二百三十八节：双尊vs方源
420560	英文残留	修改了前往上百处错字，修改了累积下来的三十多处bug。
420564	英文残留	今后有错别字，还有bug，直接微信、qq上留言给我好了！
422060	作者话候选	这一次的爆更到此为止，一共更新6章，偿还5章加更欠债。剩下的加更对象分别是logo设计大赛第一名，律梦寒冰，书友20181210224945184，天元之海，帅帅的佳奇，古月阴荒，玉心道者，清风闻仙醉明月唤梦回，大大大大狸子，这份荣耀因你而
422060	拼音残留	这一次的爆更到此为止，一共更新6章，偿还5章加更欠债。剩下的加更对象分别是logo设计大赛第一名，律梦寒冰，书友20181210224945184，天元之海，帅帅的佳奇，古月阴荒，玉心道者，清风闻仙醉明月唤梦回，大大大大狸子，这份荣耀因你而
422086	作者话候选	各位盟主过于热情，实在无能为力再遵循之前一盟一更的承诺(抱头哭)。因此调整政策，不再为新盟主加更（其实最开始的时候的盟主，也没有加更多，中途不知道为什么，就莫名其妙地被带节奏了）。
422090	英文残留	1盟主专属订作logo(我专门找设计师设计的哦)
422470	拼音残留	章节目录 第二百四十七节：楚度vs黑楼兰
428366	作者话候选	这两天《蛊真人》全渠道，感谢主编安逸大大，感谢责编游龙大大，感谢起点这个平台，最感谢诸位支持这本书的书友们、朋友们、兄弟姐妹们！
428370	拼音残留	一个是卖出ip版权，一个是全渠道推荐。
428438	英文残留	手机用户要看，直接下个腾讯动漫app。点，进去，搜蛊真人，点开，看！
432888	作者话候选	比如错字太多，这点我要郑重道歉。的确是我做的不够好。目前每隔一段时间，我都会将读者朋友们发现的错字给改回来。今后尽量做到多检查几遍，再上传发布。其实我有检查，只是我对文章太熟悉了，容易看快，老实说，检查其实蛮难的。第一次读，往往更能发现错字
